FirstName,Surname,PositionsList,Team,Cost,PointsLastRound,TotalPoints,AveragePoints,AveragePointsPerDollar,TotalPointsPerDollar,GameweekWeighting,TransfersOut,YellowCards,GoalsConceded,GoalsConcededPoints,Saves,SavesPoints,GoalsScored,GoalsScoredPoints,ValueSeason,TransfersOutRound,PriceRise,PriceFallRound,LastSeasonPoints,PriceFall,ValueForm,PenaltiesMissed,Form,Bonus,FanRating,CleanSheets,CleanSheetPoints,Assists,SelectedByPercent,TransfersIn,OwnGoals,EAIndex,PenaltiesSaved,DreamteamCount,MinutesPlayed,TransfersInRound,PriceRiseRound,RedCards,BPS,NextFixture1,NextFixture2,NextFixture3,NextFixture4,NextFixture5,GW26Forecast,GW27Forecast,GW28Forecast,GW29Forecast,GW30Forecast,GW31Forecast,GW32Forecast,GW33Forecast,GW34Forecast,GW35Forecast,GW36Forecast,GW37Forecast,GW38Forecast,ICTIndex
Marc,Albrighton,MID,LEI,5600000,1,86,3.4,6.07142857142857E-07,1.53571428571429E-05,0,252602,4,27,0,0,0,2,0,15.4,5839,1,0,86,-1,0.4,0,2.3,11,0,6,0,6,3.9,359696,0,0,0,2,1837,5400,0,0,346,Swansea,Man City,Stoke,Bournemouth,West Brom,3.7,1.8,3.6,3.7,2.8,4,2.5,3.7,2.7,3.4,2.5,3.9,2.1,115.1
Toby,Alderweireld,DEF,TOT,5800000,0,38,1.52,2.62068965517241E-07,6.55172413793103E-06,0,646250,3,7,0,0,0,0,0,6.6,596,-2,0,38,2,0,0,0,3,0,5,0,0,4.6,161169,0,0,0,0,900,114,0,0,200,Liverpool,Arsenal,Crystal Palace,Huddersfield,Bournemouth,0.8,1.5,1.5,1.3,0.8,1,0.9,0.9,0.9,0.9,1.3,0.8,1.1,27.7
Trent,Alexander-Arnold,DEF,LIV,4200000,0,36,1.44,3.42857142857143E-07,8.57142857142857E-06,0,252934,2,10,0,0,0,1,0,8.6,5182,-3,0,36,3,0,0,0,4,0,3,0,1,2.9,274036,0,0,0,1,709,1260,0,0,177,Tottenham,Southampton,West Ham,Newcastle,Man Utd,1,0.9,1.3,0.9,0.7,1.2,1.4,0.7,0.9,0.7,1.2,0.8,1.3,46.9
Joe,Allen,MID,STK,5100000,3,77,3.3,6.47058823529412E-07,1.50980392156863E-05,0,197512,5,38,0,0,0,2,0,15.1,2137,-4,0,77,4,1,0,5.3,10,0,4,0,4,2.1,99457,0,0,0,2,2052,2774,0,0,367,Bournemouth,Brighton,Leicester,Southampton,Man City,2.8,3.5,2.4,2.7,2.2,4.2,2.1,2.9,2.6,3.2,1.8,3.4,2.8,108.6
Bamidele,Alli,MID,TOT,9000000,5,115,4.8,5.33333333333333E-07,1.27777777777778E-05,0,2023382,4,20,0,0,0,5,0,12.8,6275,-5,0,115,5,0.5,0,4.6,7,0,10,0,10,12.8,964603,0,0,0,2,2011,1996,0,0,345,Liverpool,Arsenal,Crystal Palace,Huddersfield,Bournemouth,3.5,6.4,4.3,6.7,5.1,6,4.3,4.4,4,4.3,5.3,4.8,5.9,176.1
Marcos,Alonso,DEF,CHE,7400000,1,138,5.5,7.43243243243243E-07,1.86486486486487E-05,0,1000198,5,19,0,0,0,6,0,18.6,12405,4,-1,138,-4,0.7,0,5.5,13,0,12,0,1,26.8,1514296,0,0,0,4,2143,6770,1,0,525,Watford,West Brom,Man Utd,Man City,Crystal Palace,7.4,7.5,5.9,6,7.8,7.1,7.2,7.8,7.2,7.9,6.2,7.5,6.3,163
Daniel,Amartey,MID,LEI,4300000,2,12,0.48,1.11627906976744E-07,2.7906976744186E-06,0,19742,0,7,0,0,0,0,0,2.8,225,-2,0,12,2,0.6,0,2.7,0,0,3,0,0,0.3,18349,0,0,0,0,467,567,0,1,50,Swansea,Man City,Stoke,Bournemouth,West Brom,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,8.4
Ethan,Ampadu,MID,CHE,4500000,0,1,0.04,8.88888888888889E-09,2.22222222222222E-07,0,523,0,1,0,0,0,0,0,0.2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,644,0,0,0,0,10,12,0,0,6,Watford,West Brom,Man Utd,Man City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Nordin,Amrabat,MID,WAT,5000000,0,6,2,4E-07,1.2E-06,0,7624,0,3,0,0,0,0,0,1.2,4,0,0,6,0,0,0,0,0,0,1,0,0,0,3625,0,0,0,0,198,0,0,0,11,Chelsea,West Ham,Everton,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Keshi,Anderson,FWD,CRY,4500000,0,0,0,0,0,0,48275,0,0,0,0,0,0,0,0,381,0,0,0,0,0,0,0,0,0,0,0,0,0.4,59298,0,0,0,0,0,73,0,0,0,Newcastle,Everton,Tottenham,Man Utd,Chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Andre Ayew,MID,SWA,6800000,0,47,1.88,2.76470588235294E-07,6.91176470588235E-06,0,97644,2,25,0,0,0,3,0,6.9,244,-2,0,47,2,0.1,1,0.4,2,0,1,0,2,1,47273,0,0,0,0,886,345,0,0,161,Leicester,Burnley,Brighton,West Ham,Huddersfield,0,1.3,1,1.5,1.1,1.3,0.9,1.1,1.8,0.9,1.1,1.2,1.4,47.9
Michail,Antonio,MID,WHU,7400000,0,40,1.6,2.16216216216216E-07,5.40540540540541E-06,0,82816,1,16,0,0,0,1,0,5.4,60,-1,0,40,1,0,0,0,1,0,6,0,1,0.2,78306,0,0,0,0,1061,26,0,0,94,Brighton,Watford,Liverpool,Swansea,Burnley,0,0,0,0.8,1,0.9,1,0.8,1.1,0.8,0.8,0.8,1.5,61.7
Scott,Arfield,MID,BUR,4900000,1,55,2.2,4.48979591836735E-07,1.12244897959184E-05,0,37435,3,14,0,0,0,2,0,11.2,298,-1,0,55,1,0.2,0,1,6,0,6,0,2,0.3,47612,0,0,0,2,1314,45,0,0,181,Man City,Swansea,Southampton,Everton,West Ham,1.1,1.6,1.6,2.3,1.5,1.4,1.5,1.5,1.7,1.3,1.8,1.2,1.8,59.2
Marko,Arnautovic,MID,WHU,6900000,0,80,4.2,6.08695652173913E-07,1.15942028985507E-05,0,740467,2,28,0,0,0,6,0,11.6,55716,-1,1,80,1,0.8,0,5.2,7,0,3,0,4,5.6,949730,0,0,0,2,1267,317,-1,1,247,Brighton,Watford,Liverpool,Swansea,Burnley,0,0,2.7,4,4.6,4.1,4.7,3.4,4.9,3.2,3.3,3.5,5.8,124.7
Harry,Arter,MID,BOU,4700000,0,27,1.08,2.29787234042553E-07,5.74468085106383E-06,0,39651,4,13,0,0,0,1,0,5.7,77,-3,0,27,3,0,0,0,0,0,3,0,0,0.3,13066,0,0,0,0,959,72,0,0,156,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,0.5,0.5,0.6,0.5,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.6,0.5,29.2
Christian,Atsu,MID,NEW,4800000,3,70,3.3,6.875E-07,1.45833333333333E-05,0,481236,1,17,0,0,0,2,0,14.6,2103,-2,0,70,2,0.5,0,2.3,5,0,6,0,4,1.9,441869,0,0,0,1,1560,891,0,0,206,Crystal Palace,Man Utd,Bournemouth,Liverpool,Southampton,2.6,2.6,3.1,2,3.1,2.2,3.9,2.6,3.6,3.3,3.7,2.8,2.7,96.5
Pierre-Emerick,Aubameyang,FWD,ARS,10500000,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0.8,43876,0,0,0,0,0,43876,0,0,0,Everton,Tottenham,Man City,Brighton,Watford,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serge,Aurier,DEF,TOT,5900000,0,48,1.92,3.25423728813559E-07,8.13559322033898E-06,0,76252,0,10,0,0,0,1,0,8.1,2404,-1,0,48,1,0.5,0,2.8,6,0,4,0,1,0.6,96276,0,0,0,2,977,28,0,1,214,Liverpool,Arsenal,Crystal Palace,Huddersfield,Bournemouth,1.2,2.1,2.2,1.9,1.1,1.4,1.3,1.3,1.3,1.4,1.8,1.1,1.5,53.8
Charlie,Austin,FWD,SOU,5900000,0,53,2.12,3.59322033898305E-07,8.98305084745763E-06,0,437068,1,10,0,0,0,6,0,9,1130,-6,0,53,6,0,0,0,9,0,1,0,0,0.7,399416,0,0,0,1,596,33,0,0,163,West Brom,Liverpool,Burnley,Stoke,Newcastle,0,0,0,0,0,1.5,1.5,1.1,1.2,1.6,1.8,1.5,1.6,69.5
Cesar,Azpilicueta,DEF,CHE,7000000,1,128,5.3,7.57142857142857E-07,1.82857142857143E-05,0,758820,1,19,0,0,0,1,0,18.3,12620,5,0,128,-5,0.5,0,3.8,16,0,12,0,6,22.8,1272523,1,0,0,3,2160,3724,0,0,619,Watford,West Brom,Man Utd,Man City,Crystal Palace,7.1,7.1,5.6,5.7,7.5,6.8,6.8,7.5,6.9,7.5,5.9,7.2,6,109
Daniel,Bachmann,GLK,WAT,4000000,0,0,0,0,0,0,2488,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6779,0,0,0,0,0,92,0,0,0,Chelsea,West Ham,Everton,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Badou Ndiaye,MID,STK,5500000,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0,129,0,0,0,Bournemouth,Brighton,Leicester,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eric,Bailly,DEF,MUN,6000000,0,46,1.84,3.06666666666667E-07,7.66666666666667E-06,0,868525,2,3,0,0,0,1,0,7.7,819,0,0,46,0,0,0,0,3,0,6,0,0,5.5,580844,0,0,0,1,720,14,0,0,198,Huddersfield,Newcastle,Chelsea,Crystal Palace,Liverpool,0,0,0,0,0,1.3,1.4,0.9,1.7,0.9,2.1,1.2,1.8,28.3
Leighton,Baines,DEF,EVE,5600000,0,36,1.44,2.57142857142857E-07,6.42857142857143E-06,0,428623,1,25,0,0,0,2,0,6.4,542,-4,0,36,4,0,0,0,2,0,1,0,1,2.9,65175,0,0,0,1,1099,12,0,0,189,Arsenal,Crystal Palace,Watford,Burnley,Brighton,0,0,0,0,0,0.8,0.8,1.1,0.7,0.9,0.7,1.1,0.9,51
Tiemoue,Bakayoko,MID,CHE,5000000,2,69,3,6E-07,1.38E-05,0,296336,2,15,0,0,0,2,0,13.8,2308,0,0,69,0,0.5,0,2.5,5,0,9,0,2,2.1,354935,0,0,0,1,1730,974,0,0,309,Watford,West Brom,Man Utd,Man City,Crystal Palace,2.5,3.2,1.6,1.6,2.7,2.4,2.3,3,2.5,3.4,2.6,2.2,2.7,100
Sam,Baldock,FWD,BHA,4900000,0,1,0.04,8.16326530612245E-09,2.04081632653061E-07,0,2344,0,0,0,0,0,0,0,0.2,38,-1,0,1,1,0.1,0,0.3,0,0,0,0,0,0,1957,0,0,0,0,24,31,0,0,1,West Ham,Stoke,Swansea,Arsenal,Everton,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
Beni,Baningime,MID,EVE,4500000,0,5,0.2,4.44444444444444E-08,1.11111111111111E-06,0,361,0,1,0,0,0,0,0,1.1,9,0,0,5,0,0,0,0,0,0,0,0,0,0,470,0,0,0,0,145,8,0,0,17,Arsenal,Crystal Palace,Watford,Burnley,Brighton,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.6
Phil,Bardsley,DEF,BUR,4300000,2,32,1.28,2.97674418604651E-07,7.44186046511628E-06,0,26135,5,12,0,0,0,0,0,7.4,850,-2,0,32,2,0.3,0,1.3,0,0,4,0,0,1.1,75698,0,0,0,0,1080,1436,0,0,186,Man City,Swansea,Southampton,Everton,West Ham,0.6,0.6,0.9,0.7,0.8,0.8,0.6,0.9,0.7,0.7,1.1,0.6,0.7,37.9
Ross,Barkley,MID,CHE,7300000,1,1,0.04,5.47945205479452E-09,1.36986301369863E-07,0,11716,0,1,0,0,0,0,0,0.1,312,-2,0,1,2,0,0,0.3,0,0,0,0,0,0.2,4734,0,0,0,0,53,245,0,0,4,Watford,West Brom,Man Utd,Man City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
Ashley,Barnes,FWD,BUR,5200000,1,43,1.8,3.46153846153846E-07,8.26923076923077E-06,0,81619,5,12,0,0,0,3,0,8.3,2412,-3,0,43,3,0.3,0,1.7,2,0,3,0,0,1,90482,0,0,0,0,1164,518,0,0,121,Man City,Swansea,Southampton,Everton,West Ham,1.2,1.1,1.5,1.5,1.1,0.9,1.1,1.3,1.5,1.4,1.6,0.9,1.4,73.5
Modou,Barrow,MID,SWA,5000000,0,0,0,0,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,Leicester,Burnley,Brighton,West Ham,Huddersfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gareth,Barry,MID,WBA,4500000,1,51,2.3,5.11111111111111E-07,1.13333333333333E-05,0,121032,3,27,0,0,0,1,0,11.3,375,0,0,51,0,0.4,0,1.8,0,0,4,0,2,0.9,67026,0,0,0,0,1684,432,0,0,264,Southampton,Chelsea,Huddersfield,Watford,Leicester,1.9,1.2,2.5,1.4,2,1.5,1.9,2.1,1.2,1.6,1.5,1.7,1.2,78.1
Kyle,Bartley,DEF,SWA,4300000,0,4,0.16,3.72093023255814E-08,9.30232558139535E-07,0,5479,1,2,0,0,0,0,0,0.9,10,-2,0,4,2,0.1,0,0.3,0,0,0,0,0,0,1066,0,0,0,0,165,10,0,0,24,Leicester,Burnley,Brighton,West Ham,Huddersfield,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,8.1
Michy,Batshuayi,FWD,CHE,8100000,0,25,2.1,2.59259259259259E-07,3.08641975308642E-06,0,172672,0,7,0,0,0,2,0,3.1,2816,-4,0,25,4,0.2,0,1.3,3,0,1,0,1,0.7,121584,1,0,0,1,351,187,0,0,77,Watford,West Brom,Man Utd,Man City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7
Moritz,Bauer,DEF,STK,4500000,5,11,0.44,9.77777777777778E-08,2.44444444444444E-06,0,1940,2,3,0,0,0,0,0,2.4,235,0,0,11,0,0.8,0,3.7,0,0,2,0,0,0.3,20045,0,0,0,0,270,2392,0,0,58,Bournemouth,Brighton,Leicester,Southampton,Man City,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,11
Jan,Bednarek,DEF,SOU,4100000,0,0,0,0,0,0,9127,0,0,0,0,0,0,0,0,32,-4,0,0,4,0,0,0,0,0,0,0,0,0.1,2085,0,0,0,0,0,22,0,0,0,West Brom,Liverpool,Burnley,Stoke,Newcastle,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asmir,Begovic,GLK,BOU,4500000,7,81,3.2,7.11111111111111E-07,1.8E-05,0,218506,2,36,0,73,0,0,0,18,994,0,0,81,0,0.9,0,4,4,0,5,0,0,4,147051,0,0,1,3,2250,3849,0,0,426,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,3.8,2.9,3,2.6,3.4,3.6,3.7,4.6,3,3.4,3.3,3.1,3.3,54.3
Valon,Behrami,MID,WAT,4500000,0,0,0,0,0,0,9894,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,635,0,0,0,0,0,0,0,0,0,Chelsea,West Ham,Everton,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hector,Bellerin,DEF,ARS,6100000,0,95,3.8,6.22950819672131E-07,1.55737704918033E-05,0,668049,4,34,0,0,0,2,0,15.6,21653,1,0,95,-1,0.7,0,4.5,7,0,9,0,2,12.8,607979,0,0,0,1,2250,1999,0,0,466,Everton,Tottenham,Man City,Brighton,Watford,4.4,2.9,4.2,3.5,5.2,2.7,5.2,5,2.9,5.6,2.6,5,3,126.2
Yohan,Benalouane,DEF,LEI,4200000,0,0,0,0,0,0,3347,0,0,0,0,0,0,0,0,12,-3,0,0,3,0,0,0,0,0,0,0,0,0.1,1292,0,0,0,0,0,20,0,0,0,Swansea,Man City,Stoke,Bournemouth,West Brom,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,Benteke,FWD,CRY,7600000,8,54,2.8,3.68421052631579E-07,7.10526315789474E-06,0,423819,5,24,0,0,0,2,0,7.1,1083,-4,0,54,4,0.8,1,5.8,5,0,5,0,4,2.4,101058,0,0,0,0,1568,4142,0,0,94,Newcastle,Everton,Tottenham,Man Utd,Chelsea,2.9,2.1,2.6,2.8,1.6,2.2,2.6,2.4,3.2,2.5,3.1,2.6,3.2,102.2
Saido,Berahino,FWD,STK,5600000,1,16,0.64,1.14285714285714E-07,2.85714285714286E-06,0,34110,0,9,0,0,0,0,0,2.9,82,-4,0,16,4,0.1,1,0.3,0,0,2,0,1,0.2,14112,0,0,0,0,388,32,0,0,34,Bournemouth,Brighton,Leicester,Southampton,Man City,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,19.8
Steven,Berghuis,MID,WAT,5000000,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,Chelsea,West Ham,Everton,West Brom,Arsenal,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bernardo Silva,MID,MCI,7400000,3,57,2.28,3.08108108108108E-07,7.7027027027027E-06,0,109829,0,4,0,0,0,2,0,7.7,1074,-6,0,57,6,0.4,0,2.8,0,0,5,0,4,0.8,46019,0,0,0,0,764,2668,0,0,241,Burnley,Leicester,Arsenal,Chelsea,Stoke,1.5,1.8,1.3,1.5,1.5,1.9,1.9,1.4,1.2,1.9,1.6,2.3,1.6,79.9
Ryan,Bertrand,DEF,SOU,5300000,2,66,3,5.66037735849057E-07,1.24528301886792E-05,0,768928,0,30,0,0,0,0,0,12.5,1770,-2,0,66,2,0.4,0,2.3,4,0,4,0,4,4.6,288190,0,0,0,1,1975,540,0,0,384,West Brom,Liverpool,Burnley,Stoke,Newcastle,2.5,3.2,3,3.4,2.5,2.5,3.2,2.6,3,2.4,2.7,2.1,2.5,95.1
Muhamed,Besic,MID,EVE,4200000,0,2,1,2.38095238095238E-07,4.76190476190476E-07,0,13482,0,0,0,0,0,0,0,0.5,173,-3,0,2,3,0,0,0,0,0,0,0,0,0.2,11166,0,0,0,0,46,364,0,0,10,Arsenal,Crystal Palace,Watford,Burnley,Brighton,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Philip,Billing,MID,HUD,4400000,2,14,0.56,1.27272727272727E-07,3.18181818181818E-06,0,37718,2,8,0,0,0,0,0,3.2,30,-1,0,14,1,0.2,0,0.7,0,0,3,0,0,0.2,31755,0,0,0,0,510,27,0,0,62,Man Utd,Bournemouth,West Brom,Tottenham,Swansea,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,13.2
Daley,Blind,DEF,MUN,5100000,0,20,0.8,1.56862745098039E-07,3.92156862745098E-06,0,185857,0,0,0,0,0,0,0,3.9,260,-4,0,20,4,0,0,0,0,0,3,0,0,0.9,135630,0,0,0,0,274,9,0,0,88,Huddersfield,Newcastle,Chelsea,Crystal Palace,Liverpool,0.5,0.4,0.4,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.6,0.4,0.5,15.1
Jeremie,Boga,MID,CHE,6000000,0,1,1,1.66666666666667E-07,1.66666666666667E-07,0,980,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,539,0,0,0,0,17,0,0,0,1,Watford,West Brom,Man Utd,Man City,Crystal Palace,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Bojan,MID,STK,5500000,0,2,2,3.63636363636364E-07,3.63636363636364E-07,0,6557,0,1,0,0,0,0,0,0.4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1876,0,0,0,0,71,0,0,0,5,Bournemouth,Brighton,Leicester,Southampton,Man City,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9
Yannick,Bolasie,MID,EVE,6400000,0,8,0.32,5E-08,1.25E-06,0,7134,0,4,0,0,0,0,0,1.3,239,-1,0,8,1,0.1,0,0.7,0,0,1,0,0,0.1,5367,0,0,0,0,241,67,0,0,17,Arsenal,Crystal Palace,Watford,Burnley,Brighton,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,6.7
Gaetan,Bong,DEF,BHA,4400000,2,36,1.44,3.27272727272727E-07,8.18181818181818E-06,0,10418,1,16,0,0,0,0,0,8.2,89,-1,0,36,1,0.2,0,1,3,0,4,0,0,0.2,10847,0,0,0,1,1080,90,0,0,212,West Ham,Stoke,Swansea,Arsenal,Everton,1.4,0.8,0.9,1.4,0.7,0.7,1,1.3,1.4,1,0.8,1.1,0.7,21.6
Wilfried,Bony,FWD,SWA,5700000,1,32,1.28,2.24561403508772E-07,5.6140350877193E-06,0,84015,2,8,0,0,0,2,0,5.6,469,-3,0,32,3,0.1,0,0.8,3,0,2,0,1,0.2,87240,0,0,0,0,682,111,0,0,99,Leicester,Burnley,Brighton,West Ham,Huddersfield,0.6,0.7,0.6,0.9,0.6,0.9,0.6,0.6,0.9,0.6,0.6,0.7,1,38.9
Artur,Boruc,GLK,BOU,4100000,0,0,0,0,0,0,151009,0,0,0,0,0,0,0,0,249,-4,0,0,4,0,0,0,0,0,0,0,0,1.3,6290,0,0,0,0,0,143,0,0,0,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofiane,Boufal,MID,SOU,5700000,1,46,1.84,3.2280701754386E-07,8.07017543859649E-06,0,20638,1,22,0,0,0,2,0,8.1,175,-3,0,46,3,0.2,0,1.3,2,0,1,0,1,0.2,16376,0,0,0,0,1037,87,0,0,189,West Brom,Liverpool,Burnley,Stoke,Newcastle,1.1,1,1.1,1.3,1.2,1.2,1.1,0.9,1,1,1.3,1.3,0.9,91.7
,Brad Smith,DEF,BOU,3900000,0,0,0,0,0,0,177667,0,0,0,0,0,0,0,0,693,-1,0,0,1,0,0,0,0,0,0,0,0,2.7,74617,0,0,0,0,0,1112,0,0,0,Stoke,Huddersfield,Newcastle,Leicester,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0
